country,year,happiness_rank,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,perception_of_corruption,generosity,electricity_access_pc,prim_school_enrol_rate,ARV_coverage,battle_deaths,birth_rate,child_labour_pc,children_not_in_school_pc,CPI,GDP_growth,gini_index,income_top_10pc,income_bottom_10pc,internet_coverage,under5_mortality,smokers_pc,male_femaLe_labour_force_part,real_eff_xr,renew_elect_output,rural_pop_pc,youth_not_in_ed_emply,suicide_mortality,time_to_start_bus,alcohol_cons_percap,unemployment_pc,women_married_by_15,country,region,region
Mexico,2015,14,7.187,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,99,99.32,41.0,,17.97,,0.32,119.41,2.7,,,,57.43,16.2,15.2,55.68,90.62,15.39,20.72,19.72,5.6,8.4,5.15,4.31,,Mexico,"Latin America and Caribbean","Latin America and Caribbean"
"United States",2015,15,7.119,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,100,94.6,,,12.4,,1.81,108.7,2.71,41.2,30.5,1.8,74.55,6.8,25.3,82.08,109.91,13.23,18.33,12.44,14.4,5.6,9.49,5.28,,"United States","North America","North America"
Brazil,2015,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,99.71,96.85,63.0,,14.73,2.54,4.41,138.39,-3.55,51.9,40.9,1.2,58.33,15.9,14.9,70.4,69.61,73.97,14.23,22.1,5.9,86,8.2,8.54,,Brazil,"Latin America and Caribbean","Latin America and Caribbean"
Luxembourg,2015,17,6.946,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,100,97.99,66.0,,10.7,,2.63,109.2,2.27,32.9,25.1,2.9,96.38,2.8,23.2,83.43,97.12,32.38,9.82,6.16,12.2,16.5,11.71,6.67,,Luxembourg,"Western Europe","Western Europe"
Ireland,2015,18,6.94,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,100,99.95,73.0,,13.9,,,104.71,24.48,31.8,25.4,3.1,83.49,3.7,23.8,79.42,88.4,27.97,37.46,14.25,9.3,12,11.71,9.91,,Ireland,"Western Europe","Western Europe"
Belgium,2015,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,100,98.38,,,10.8,,1.85,108.63,2.04,27.7,22.2,3.4,85.05,4.1,25.7,81.53,94.51,20.8,2.12,12.18,18.6,4.5,11.24,8.48,,Belgium,"Western Europe","Western Europe"
"United Arab Emirates",2015,20,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,100,99.89,,,11.48,,,109.35,6.79,,,,90.5,7.6,,,,0.23,14.33,,6.5,8.3,2.37,1.79,,"United Arab Emirates","Middle East and Northern Africa","Middle East and Northern Africa"
"United Kingdom",2015,21,6.867,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,100,99.93,,,11.9,,1.87,110.96,2.22,33.3,25.7,3.0,92,4.5,19.3,83.44,113.76,24.84,17.37,11.05,8.8,4.5,10.52,5.3,,"United Kingdom","Western Europe","Western Europe"
Oman,2015,22,6.853,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,100,97.56,47.0,,21.32,,3.59,109.41,5.02,,,,73.53,11.2,7.8,,,0,18.65,,5,9.3,0.81,3.39,,Oman,"Middle East and Northern Africa","Middle East and Northern Africa"
Singapore,2015,24,6.798,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,100,,62.0,,9.7,,0.24,113.22,2.98,,,,83.2,2.7,16.5,78.76,108.32,1.82,0,3.6,9,2.5,1.91,3.79,,Singapore,"Southeastern Asia","Southeastern Asia"
Panama,2015,25,6.786,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,91.6,87.74,,,20.11,,10.27,119.64,5.73,50.8,39.0,1.1,51.21,16.9,6.4,64.52,,65.33,33.3,18.45,2.9,6,6.59,4.37,,Panama,"Latin America and Caribbean","Latin America and Caribbean"
Germany,2015,26,6.75,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,100,89.44,,,9,,0.86,107.2,1.49,31.4,24.8,3.1,87.59,3.9,24.9,83.05,92.5,29.23,22.8,6.17,13.3,10.5,12.15,4.62,,Germany,"Western Europe","Western Europe"
Chile,2015,27,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,99.71,93.47,52.0,,13.21,,2.72,118.4,2.15,44.4,36.1,2.2,76.63,8,32.9,67.63,90.99,43.6,12.64,19.2,10,7.5,7.75,6.49,,Chile,"Latin America and Caribbean","Latin America and Caribbean"
Qatar,2015,28,6.611,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,100,96.18,41.0,,10.33,,3.98,112.39,4.75,,,,92.88,7.8,12.2,60.2,,0,1.06,,6.1,9.7,1.17,0.17,,Qatar,"Middle East and Northern Africa","Middle East and Northern Africa"
France,2015,29,6.575,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,100,99.0,79.0,3.0,12,,0.51,105.58,1.11,32.7,26.6,3.1,78.01,4.2,33.7,84.79,92.04,15.86,20.34,13.97,15.8,4,11.73,10.35,,France,"Western Europe","Western Europe"
Argentina,2015,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,99.69,99.84,59.0,,17.35,,0.87,,2.73,,,,68.04,11.6,26.6,,,28.14,8.5,,8.3,24.5,8.57,7.58,,Argentina,"Latin America and Caribbean","Latin America and Caribbean"
Uruguay,2015,32,6.485,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,99.71,99.92,55.0,,14.22,,0.59,150.1,0.37,40.1,29.8,2.1,64.57,8.9,24.3,75.68,107.38,88.56,4.96,18.73,18.6,6.5,6.02,7.49,,Uruguay,"Latin America and Caribbean","Latin America and Caribbean"
Colombia,2015,33,6.477,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,98.19,96.38,41.0,134.0,15.58,5.56,3.4,117.59,2.96,51.0,39.9,1.3,55.9,15.6,9.9,69.67,77.58,68.24,20.24,21.14,4.1,12,5.02,8.57,4.9,Colombia,"Latin America and Caribbean","Latin America and Caribbean"
Thailand,2015,34,6.455,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,99.6,,61.0,57.0,10.61,,,110.34,3.13,36.0,28.4,3.2,39.32,10.8,24.1,78.4,,8.54,52.31,13.59,8,31,8.16,0.6,,Thailand,"Southeastern Asia","Southeastern Asia"
"Saudi Arabia",2015,35,6.411,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,100,97.38,,81.0,19.52,,,116.62,4.69,,,,69.62,9.1,14.2,27.58,113.58,0,16.82,,6.3,23.3,0,5.6,,"Saudi Arabia","Middle East and Northern Africa","Middle East and Northern Africa"
Spain,2015,36,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,100,99.47,76.0,,9,,3.04,106.51,3.84,36.2,26.2,1.9,78.69,3.3,29.7,81.94,93.87,34.95,20.4,15.64,7.9,14,9.94,22.06,,Spain,"Western Europe","Western Europe"
Malta,2015,37,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,100,98.98,,,9.7,,1.25,108.16,9.61,29.4,23.6,3.4,75.96,6.6,26.3,66.02,89.55,7.67,5.59,10.54,7.2,28,7.72,5.38,,Malta,"Western Europe","Western Europe"
Kuwait,2015,39,6.295,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,100,,,,16.89,,2.95,118.13,0.59,,,,82,9.1,18.3,65.22,,0,0,,2.6,31.4,0,2.2,,Kuwait,"Middle East and Northern Africa","Middle East and Northern Africa"
Japan,2015,46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,100,,,,8,,0.14,103.59,1.56,,,,91.06,2.8,22.7,70.37,69.42,15.98,8.62,3.66,19.1,11.2,6.72,3.39,,Japan,"Eastern Asia","Eastern Asia"
Ecuador,2015,48,5.975,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,98.83,98.16,42.0,,18.74,5.56,0.89,121.48,0.1,46.0,34.9,1.6,48.94,15.4,12.8,65.14,,52.8,36.6,19.81,8.8,50.5,3.85,3.62,,Ecuador,"Latin America and Caribbean","Latin America and Caribbean"
Bahrain,2015,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,100,98.03,33.0,,15.79,,0.4,110.53,2.49,,,,93.48,7.4,16.4,50.08,105.75,0,11,,7.4,9.4,1.89,1.17,,Bahrain,"Middle East and Northern Africa","Middle East and Northern Africa"
Italy,2015,50,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,100,98.27,72.0,,8,,1.5,107.5,0.78,35.4,25.8,1.7,58.14,3.5,23.8,67.55,93.83,38.68,30.44,21.33,7.1,11,7.68,11.9,,Italy,"Western Europe","Western Europe"
Bolivia,2015,51,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,91.52,88.7,25.0,,23.74,13.92,,133.65,4.86,46.7,34.8,1.1,37.49,31.6,15.6,68.66,137.63,31.4,31.61,14.56,6.4,49,4.31,3.11,,Bolivia,"Latin America and Caribbean","Latin America and Caribbean"
Moldova,2015,52,5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,99.86,89.95,27.0,,14.9,,0.44,135.73,-0.34,27.0,22.5,4.1,43.1,15.8,27.9,97.53,99.12,5.37,57.51,15.77,16.2,6,11.35,1.78,,Moldova,"Central and Eastern Europe","Central and Eastern Europe"
Paraguay,2015,53,5.878,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,99.33,,41.0,,22.43,,,124.83,2.96,47.6,36.7,1.6,49.72,22.2,14.5,67.66,114.78,100,39.25,17.45,5.7,35,5.41,4.56,,Paraguay,"Latin America and Caribbean","Latin America and Caribbean"
Kazakhstan,2015,54,5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,100,99.85,32.0,,22.71,,3.12,137.28,1.2,26.8,22.6,4.3,70.83,11.9,25.4,,,8.87,42.81,8.46,23.2,11,4.17,4.93,0.2,Kazakhstan,"Central and Eastern Europe","Central and Eastern Europe"
Slovenia,2015,55,5.848,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,100,98.29,59.0,,10,,1.71,105.95,2.21,25.4,21.1,3.9,73.1,2.6,22.7,85.25,,29.39,46.22,9.51,21,6,11.58,9,,Slovenia,"Central and Eastern Europe","Central and Eastern Europe"
Lithuania,2015,56,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,100,99.75,20.0,,10.8,,0.08,107.62,2.02,37.4,28.6,2.1,71.38,4.9,34.0,83.91,,39.41,32.77,9.2,34.9,5.5,14.17,9.12,,Lithuania,"Central and Eastern Europe","Central and Eastern Europe"
Nicaragua,2015,57,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,83.24,,36.0,,22.8,,,136.88,4.79,,,,19.7,18.8,,,102.08,50.05,42.1,,4.2,14,4.11,4.7,,Nicaragua,"Latin America and Caribbean","Latin America and Caribbean"
Peru,2015,58,5.824,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,93.85,96.49,53.0,,18.81,22.57,,117.69,3.25,43.4,32.6,1.6,40.85,16.5,11.5,80.26,,52.73,22.64,18.59,2.7,41.5,7.55,3.27,,Peru,"Latin America and Caribbean","Latin America and Caribbean"
Belarus,2015,59,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,97.37,94.26,33.0,,12.5,,4.58,387.09,-3.83,25.6,21.2,4.1,62.23,4.1,33.0,108.37,,0.82,22.82,,24.3,9,11.04,5.88,,Belarus,"Central and Eastern Europe","Central and Eastern Europe"
Poland,2015,60,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,100,,,,9.7,,,108.13,4.38,31.8,24.2,2.8,68,4.9,27.2,75.0,92.57,13.8,39.72,10.99,15.9,37,11.46,7.5,,Poland,"Central and Eastern Europe","Central and Eastern Europe"
Croatia,2015,62,5.759,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,100,98.49,67.0,,8.9,,1.42,107.37,2.52,31.1,23.2,2.7,69.85,4.9,36.1,79.26,92.63,66.83,43.84,18.12,17.6,22.5,8.59,16.18,,Croatia,"Central and Eastern Europe","Central and Eastern Europe"
Jamaica,2015,65,5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,94.9,85.39,36.0,,14.12,,,141.11,0.92,,,,42.22,15,11.0,80.06,,10.26,45.17,,2.2,3,3.39,8.82,,Jamaica,"Latin America and Caribbean","Latin America and Caribbean"
Cyprus,2015,67,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,100,97.83,53.0,,11.21,,1.4,101.73,3.38,34.0,27.5,3.2,71.72,2.8,36.4,85.7,88.19,8.78,33.05,15.3,4.7,8,8.12,15.03,,Cyprus,"Western Europe","Western Europe"
Mauritius,2015,71,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,99.57,96.28,20.0,,10.1,,1.68,119.75,3.69,,,,50.14,14.6,21.4,61.89,,22.72,59,20.09,7.9,6.5,7.4,7.41,,Mauritius,"Sub-Saharan Africa","Sub-Saharan Africa"
Estonia,2015,73,5.429,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,100,93.72,,,10.6,,2.72,111.47,1.85,32.7,24.4,2.7,88.41,3.1,33.3,81.05,,14.42,31.58,11.48,15.9,3.5,15.06,6.19,,Estonia,"Central and Eastern Europe","Central and Eastern Europe"
Indonesia,2015,74,5.399,0.82827,1.08708,0.63793,0.46611,0,0.51535,97.54,,12.0,,18.45,,,132.3,4.88,40.4,33.0,2.9,22.06,27.7,36.7,61.55,,10.65,46.69,22.92,2.4,49.3,0.11,4.51,,Indonesia,"Southeastern Asia","Southeastern Asia"
Nigeria,2015,78,5.268,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,52.5,,44.0,4637.0,39.51,,,158.93,2.65,35.9,26.9,2.8,24.5,126.4,4.7,,119.85,18.2,52.16,,3.7,30.3,4.39,4.11,,Nigeria,"Sub-Saharan Africa","Sub-Saharan Africa"
Bhutan,2015,79,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,95.36,90.13,15.0,,17.15,,11.38,148.66,6.64,,,,39.8,33.2,,78.59,,99.99,61.32,,4.5,15,0.32,2.45,,Bhutan,"Southern Asia","Southern Asia"
Azerbaijan,2015,80,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,100,94.26,23.0,63.0,17.2,,1.16,117.73,1.09,,,,77,26.3,25.2,91.09,,7.04,45.29,,4.1,3.5,1.44,4.96,,Azerbaijan,"Central and Eastern Europe","Central and Eastern Europe"
Pakistan,2015,81,5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,90.98,61.53,5.0,2126.0,29.7,,,145.28,4.22,31.3,27.0,4.1,11,76.2,23.6,30.38,116.01,31.43,63.97,30.41,9,20,0.1,3.57,,Pakistan,"Southern Asia","Southern Asia"
Jordan,2015,82,5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,99.89,,,1.0,24.44,,,116.4,2.5,,,,54.22,17.5,33.7,,,0.97,9.74,,1.5,12.5,0.37,13.08,,Jordan,"Middle East and Northern Africa","Middle East and Northern Africa"
Montenegro,2015,82,5.192,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,99.49,94.78,35.0,,11.9,,1.18,111.03,3.39,39.0,27.7,1.8,68.12,4.1,33.1,79.26,,49.65,34.19,19.15,20.7,12,9.55,17.55,,Montenegro,"Central and Eastern Europe","Central and Eastern Europe"
China,2015,84,5.14,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,100,,,5.0,11.99,,,114.92,7.04,38.6,29.4,2.6,50.3,10.7,25.9,,130.04,23.93,44.5,,8.1,31.4,7.35,4.65,,China,"Eastern Asia","Eastern Asia"
Zambia,2015,85,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,31.1,,63.0,,37.83,,,144.04,2.92,55.9,43.5,1.1,8.8,68.2,15.5,,86.74,96.99,58.09,,8.7,8.5,3.73,8.34,,Zambia,"Sub-Saharan Africa","Sub-Saharan Africa"
Romania,2015,86,5.124,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,98.76,89.53,59.0,,10.2,,8.08,114.2,3.16,35.9,24.8,1.6,55.76,9.2,29.7,70.15,98.33,39.75,46.11,18.08,11.5,8,16.85,6.81,,Romania,"Central and Eastern Europe","Central and Eastern Europe"
Serbia,2015,87,5.123,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,99.9,99.21,54.0,,9.3,,1.91,132.96,1.81,40.5,29.2,1.1,65.32,6.3,40.9,72.07,,26.91,44.3,20.36,16.4,11.5,7.84,17.66,,Serbia,"Central and Eastern Europe","Central and Eastern Europe"
Portugal,2015,88,5.102,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,100,97.6,74.0,,8.3,,1.23,107.04,1.79,35.5,27.3,2.4,68.63,3.7,25.2,83.86,95.15,47.53,36.49,11.27,13.2,6,10.54,12.45,,Portugal,"Western Europe","Western Europe"
Latvia,2015,89,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,100,96.49,17.0,,11.1,,2.04,107.54,3.89,34.2,26.2,2.5,79.2,5.1,38.5,80.29,98.15,50.17,32.02,10.52,21.6,5.5,11.61,9.87,,Latvia,"Central and Eastern Europe","Central and Eastern Europe"
Philippines,2015,90,5.073,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,89.08,95.58,24.0,572.0,23.25,,6.01,115.43,6.35,44.6,34.9,2.3,36.9,29.8,25.4,65.38,111.49,25.41,53.72,22.84,2.3,25,5.85,3.07,,Philippines,"Southeastern Asia","Southeastern Asia"
Morocco,2015,92,5.013,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,97.3,,44.0,,20.31,,,106.22,4.34,,,,57.08,23.6,16.2,34.57,96.84,14.31,39.19,,7.4,10.5,0.41,9.46,,Morocco,"Middle East and Northern Africa","Middle East and Northern Africa"
Mozambique,2015,94,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,24,91.51,,,38.8,,3.53,126.29,7.39,,,,6.5,84,17.0,97.57,,86.41,65.6,,13.9,21,1.76,3.43,16.8,Mozambique,"Sub-Saharan Africa","Sub-Saharan Africa"
Albania,2015,95,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,99.98,97.8,39.0,,11.72,,,111.4,2.22,32.8,24.8,3.2,56.9,9.6,25.1,73.33,,100,42.57,29.82,4.8,5,5.04,17.19,,Albania,"Central and Eastern Europe","Central and Eastern Europe"
"Bosnia and Herzegovina",2015,96,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,99.7,,,,8.84,,11.35,,4.31,,,,52.6,6.3,37.7,60.95,,35.52,52.83,28.35,10.7,82,5.95,27.69,,"Bosnia and Herzegovina","Central and Eastern Europe","Central and Eastern Europe"
Lesotho,2015,97,4.898,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,31.77,89.24,51.0,,28.3,,13.81,127.05,3.12,,,,25,82.5,25.6,,78.33,100,73.09,,92.4,29,3.28,16.22,,Lesotho,"Sub-Saharan Africa","Sub-Saharan Africa"
"Dominican Republic",2015,98,4.885,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,98.56,95.53,34.0,,20.6,,4.47,119.44,6.93,45.2,34.9,1.9,54.22,35.1,12.2,63.2,94.26,11.63,21.43,25.23,6.4,14.5,6.57,7.61,,"Dominican Republic","Latin America and Caribbean","Latin America and Caribbean"
Mongolia,2015,100,4.874,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,87.97,96.8,28.0,,26.35,,4.84,162.55,2.38,,,,22.5,19.4,30.6,81.69,,3.08,31.77,16.81,20,12,9.66,4.86,,Mongolia,"Eastern Asia","Eastern Asia"
Greece,2015,102,4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0,100,97.33,56.0,,8.5,,2.18,100.77,-0.2,36.0,26.2,1.9,66.83,4.4,37.9,74.55,89.31,28.66,21.95,17.9,5,13,7.48,24.98,,Greece,"Western Europe","Western Europe"
Lebanon,2015,103,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,99.74,,42.0,76.0,17.76,,,114.97,0.46,,,,74,9.4,38.7,,,2.6,11.89,,2.8,15,1.53,9.21,,Lebanon,"Middle East and Northern Africa","Middle East and Northern Africa"
Hungary,2015,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,100,96.38,,,9.4,,4.29,111.38,3.71,30.4,23.8,3.0,72.83,5.1,33.2,75.03,88.32,10.58,29.5,11.58,19.9,7,10.68,6.81,,Hungary,"Central and Eastern Europe","Central and Eastern Europe"
Honduras,2015,105,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,89.98,78.43,45.0,,22.75,,22.18,129.3,3.84,49.2,36.6,1.3,27.1,20.5,,57.03,,42.28,44.84,26.96,4,41,2.85,6.15,,Honduras,"Latin America and Caribbean","Latin America and Caribbean"
Tajikistan,2015,106,4.786,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,98,97.53,32.0,,31.23,,8.27,140.15,6.02,34.0,26.4,3.0,18.98,37.4,,,,98.47,73.26,,4.1,11,0.89,7.55,,Tajikistan,"Central and Eastern Europe","Central and Eastern Europe"
Tunisia,2015,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,99.9,,17.0,57.0,19.12,,0.91,124.28,0.97,32.8,25.6,3.2,46.5,17.2,26.6,37.85,97.49,2.84,31.94,,3.1,13,2.03,15.16,,Tunisia,"Middle East and Northern Africa","Middle East and Northern Africa"
Bangladesh,2015,109,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,74,,14.0,,19.16,,,144.56,6.55,,,,12.9,38,38.9,,,1.23,65.69,,3.4,19.5,0,4.38,,Bangladesh,"Southern Asia","Southern Asia"
Ukraine,2015,111,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,100,,29.0,1786.0,10.7,,15.97,180.5,-9.77,25.5,21.6,4.2,48.88,9.4,28.4,81.26,71.56,4.38,30.94,17.63,21.6,8,9.73,9.14,,Ukraine,"Central and Eastern Europe","Central and Eastern Europe"
Iraq,2015,112,4.677,0.98549,0.81889,0.60237,0,0.13788,0.17922,99.45,,,10138.0,31.59,,,118.54,4.72,,,,15.2,29.8,19.1,,,3.73,30.08,,4.1,34.5,0.23,10.82,,Iraq,"Middle East and Northern Africa","Middle East and Northern Africa"
"South Africa",2015,113,4.642,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,85.3,95.65,56.0,,21.3,,5.21,130.29,1.32,,,,51.92,37.3,21.0,78.41,75.24,2.26,35.17,28.97,24.5,46,8.88,22.87,,"South Africa","Sub-Saharan Africa","Sub-Saharan Africa"
Ghana,2015,114,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,74,,26.0,,31.71,,15.38,182.64,2.12,,,,23,55.4,4.2,88.47,68.18,50.89,45.91,25.56,7.3,14,5.01,6.81,,Ghana,"Sub-Saharan Africa","Sub-Saharan Africa"
Zimbabwe,2015,115,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,33.7,,64.0,,33.96,,15.16,106.21,2.02,,,,22.74,60.5,13.6,,,52.72,67.61,,18,91,3.75,5.41,3.7,Zimbabwe,"Sub-Saharan Africa","Sub-Saharan Africa"
